llm_model_name,llm_model_max_token_size,llm_model_max_async,chunk_token_size,chunk_overlap_token_size,entity_extract_max_gleaning,embedding_batch_num,embedding_func_max_async,max_parallel_insert,mode,response_type,top_k,max_token_for_text_unit,max_token_for_global_context,max_token_for_local_context,history_turns,llm_model_kwargs.option.temperature,llm_model_kwargs.option.top_p,llm_model_kwargs.option.top_k,llm_model_kwargs.option.repeat_penalty,llm_model_kwargs.option.num_ctx,cosine_threshold,total_time,precision,recall,f1_score
deepseek-r1:32b,27744,5,1623,184,2,15,22,1,bypass,Single Paragraph,53,5352,3271,3431,7,0.5592764205917204,0.7641573869730716,45,0.6069562654365401,25157,0.0380346575491409,3.745217800140381,0.2,0.017543859649122806,0.03225806451612903
deepseek-r1:32b,31793,5,2194,26,9,39,15,6,bypass,Single Paragraph,86,3143,4742,4419,4,0.2659974218768682,0.3951055050787099,97,1.8975414215797712,25584,0.2498686833506208,7.124038934707642,0.10609480812641084,0.8245614035087719,0.188
deepseek-r1:32b,16808,4,1098,126,2,18,23,2,bypass,Multiple Paragraphs,43,4344,4862,1443,3,0.8038885862263161,0.8131284802683877,31,1.0295126687022012,8386,0.6439384619819338,6.722966909408569,0.10633484162895927,0.8245614035087719,0.18837675350701402
deepseek-r1:32b,15872,8,1120,112,8,45,31,4,global,Multiple Paragraphs,23,1816,1323,1779,2,0.539608739090702,0.1115926673257373,46,1.5795147742081457,21050,0.9446980013011363,4.168861627578735,0.2,0.07017543859649122,0.10389610389610389
deepseek-r1:32b,31300,15,548,31,2,31,18,1,global,Bullet Points,52,4327,2950,1208,5,0.6629063598664592,0.3821399892001332,61,1.189704455617625,6067,0.2706704892002554,4.345091104507446,0.2,0.07017543859649122,0.10389610389610389
deepseek-r1:32b,24600,2,1563,56,9,13,12,2,bypass,Bullet Points,35,1096,1743,1230,10,0.3882957892263147,0.8932904337735083,69,1.835154456790356,27644,0.0976919027513174,6.354266405105591,0.1352112676056338,0.8421052631578947,0.23300970873786403
deepseek-r1:32b,26758,14,810,25,2,60,13,6,global,Multiple Paragraphs,44,4838,5089,4218,2,0.9487448307342562,0.4119347050964167,35,1.2822222870468647,20870,0.3727537220613674,4.389243125915527,0.2,0.07017543859649122,0.10389610389610389
deepseek-r1:32b,19861,6,1896,59,9,42,5,5,naive,Multiple Paragraphs,27,5754,4968,3491,9,0.7782817496078017,0.5807559712589982,21,1.065414994656449,22108,0.8517466626602002,8.4236159324646,0.1359773371104816,0.8421052631578947,0.23414634146341468
deepseek-r1:32b,29204,16,1273,199,8,54,29,2,mix,Multiple Paragraphs,30,5207,1108,4894,10,0.5235123130516259,0.1821192662938159,54,1.3203943297089002,17987,0.8552907085235921,4.730996131896973,0.2,0.07017543859649122,0.10389610389610389
deepseek-r1:32b,32394,8,1607,139,2,21,7,3,naive,Multiple Paragraphs,38,4140,1396,2374,6,0.5441500278345591,0.9493527310060664,91,0.520722343203162,9032,0.8181374375034742,4.666353940963745,0.6111111111111112,0.19298245614035087,0.29333333333333333
deepseek-r1:32b,20583,14,1757,30,6,9,30,3,global,Multiple Paragraphs,46,2922,3645,2044,4,0.3800089868255087,0.7876032019489628,74,0.3096284631203065,3389,0.9275731123699852,3.6063551902770996,0.2,0.07017543859649122,0.10389610389610389
deepseek-r1:32b,25496,13,543,112,5,29,27,3,naive,Multiple Paragraphs,68,4023,4187,4262,10,0.3345566550293866,0.831693423433993,4,0.9449955734882872,27512,0.0349325959876121,8.094225645065308,0.1099476439790576,0.7368421052631579,0.19134396355353078
deepseek-r1:32b,15172,14,1496,150,10,35,17,2,naive,Bullet Points,25,5775,4314,1024,10,0.2097166603452425,0.9487707089374596,98,1.654547980817583,14465,0.5942303775138996,6.759169340133667,0.19473684210526315,0.6491228070175439,0.2995951417004049
deepseek-r1:32b,27726,16,2365,142,3,56,19,3,hybrid,Bullet Points,14,4460,5589,5202,6,0.9156895785245244,0.7273967950482451,80,1.201726798718943,10054,0.4422954561893348,4.18120002746582,0.2,0.07017543859649122,0.10389610389610389
